name,date,date_confirmed,country,city,image,link,distance_5,distance_10,distance_15,distance_20,distance_25,distance_30,distance_35,distance_40,distance_45,distance_50,distance_55,distance_60,distance_65,distance_70,distance_75,distance_80,distance_85,distance_90,distance_95,distance_100,distance_105,distance_110,distance_115,distance_120,distance_125,distance_130,distance_135,distance_140,distance_145,distance_150,distance_155,distance_160,distance_165,distance_170,distance_175,distance_250,distance_300,style_Altitude,style_Asateam,style_Autonomy,style_Capitals/largecities,style_Cascade,style_Castles,style_Children's&Juniors,style_CitytoCity,style_Cliffs,style_Cross-border,style_Culture&History,style_Duo,style_Forest,style_Island,style_Lakes&ponds,style_Mountain,style_Nature,style_Nocturnal,style_Overseveraldays,style_Relay,style_Sand,style_Seaside,style_Snow,style_UTMBWorldSeries,style_UrbanTrail,style_Vertical,style_Vineyard,disipline_Road Running,disipline_Trail,disipline_Walking,latitude,longitude
Quindío Trail Colombia ,"3 Sat ➜ May 4, 2025",True,Colombia,Buena Vista,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/amerique-du-sud/colombie/departamento-de-narino/leiva/quindio-trail-colombia-by-utmb/mizvbso69hvogqr0e4xk",https://www.finishers.com/en/event/quindio-trail-colombia-by-utmb,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,42.7445814,-95.1127525
Ultra-Trail Australia ,"15 Thu ➜ May 17, 2025",True,Australia,Katoomba,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/oceanie/australie/new-south-wales/ville-de-blue-mountains/ultra-trailr-australia-by-utmb/easjob8zld5pfnurqayf",https://www.finishers.com/en/event/ultra-trailr-australia-by-utmb,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-33.713759,150.3121633
Ultra-Trail Snowdonia Eryri ,"16 Fri ➜ May 18, 2025",True,United Kingdom,Caernarfon,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/royaume-uni/pays-de-galles/gwynedd-1/ultra-trailr-snowdonia/AdobeStock_27538264_hf657v",https://www.finishers.com/en/event/ultra-trail-snowdonia-eryri-by-utmb-r,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,53.1394364,-4.2769751
Trail Alsace Grand Est ,"16 Fri ➜ May 18, 2025",True,France,Colmar,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/france/grand-est/haut-rhin/trail-alsace-grand-est-utmb/s5qpitkas1tltemrlcyz",https://www.finishers.com/en/event/trail-alsace-grand-est-utmb,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,48.0777517,7.3579641
Mountain Ultra-Trail ,"23 Fri ➜ May 25, 2025",True,South Africa,George,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/afrique/afrique-du-sud/cap-occidental/district-municipal-de-la-route-des-jardins/mountain-ultra-trail-by-utmb/zse91yqlymnr2wef14xo",https://www.finishers.com/en/event/mountain-ultra-trail-by-utmb,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,30.857421,-88.6537118
Mozart 100 ,"Sat, May 31 ➜ Sat, Jun 7, 2025",True,Austria,Salzburg,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/autriche/salzbourg/salzburg/mozart-100r/AdobeStock_220631868_fpxjsb",https://www.finishers.com/en/event/mozart-100-utmb,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,47.7981346,13.0464806
Tenerife Bluetrail ,"6 Fri ➜ June 8, 2025",True,Spain,Santa Cruz de Tenerife,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/espagne/iles-canaries/santa-cruz-de-tenerife/tenerife-bluetrail/AdobeStock_268111123_r5iskb",https://www.finishers.com/en/event/tenerife-bluetrail-by-utmb-r,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,28.467178,-16.2507843
Trail 100 Andorra By UTMB®,"13 Fri ➜ June 15, 2025",True,Andorra,Ordino,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/andorre/ordino/trail-100-andorra-pyrenees/Trail_100_Andorra-Pyrenee_yc3kuf",https://www.finishers.com/en/event/trail-100-andorra-pyrenees-utmb,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,42.600955,1.5298387862456835
Trail du Saint-Jacques ,"13 Fri ➜ June 15, 2025",True,France,Le Puy-en-Velay,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/france/auvergne-rhone-alpes/haute-loire/grand-trail-du-saint-jacques/Kavval_Grand_Trail_du_Saint-Jacques_2_eunftb",https://www.finishers.com/en/event/grand-trail-du-saint-jacques-utmb,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,45.0459739,3.8855537
Mauritius ,End of June 2025,False,Mauritius,Le Morne,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/afrique/maurice/riviere-noire-1/mauritius-by-utmb/auzvosisltiteygd88hr",https://www.finishers.com/en/event/mauritius-by-utmb,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,-20.4540752,57.3213024
